DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Ball Set,Machine,DrawNumber
01-Oct-2025,13,28,31,39,51,59,1,Lotto 2,3107
27-Sep-2025,15,23,24,28,37,41,4,Lotto 2,3106
24-Sep-2025,3,16,23,30,38,47,4,Lotto 2,3105
20-Sep-2025,13,16,30,36,53,59,3,Lotto 2,3104
17-Sep-2025,7,9,18,24,30,36,3,Lotto 2,3103
13-Sep-2025,1,26,36,49,53,54,2,Lotto 2,3102
10-Sep-2025,1,9,18,27,38,42,2,Lotto 2,3101
06-Sep-2025,10,22,37,40,45,57,1,Lotto 2,3100
03-Sep-2025,7,15,18,22,31,54,1,Lotto 2,3099
30-Aug-2025,6,10,19,20,43,59,4,Lotto 2,3098
27-Aug-2025,5,25,43,45,47,55,4,Lotto 2,3097
23-Aug-2025,7,30,38,42,54,59,3,Lotto 2,3096
20-Aug-2025,1,9,10,32,44,55,3,Lotto 2,3095
16-Aug-2025,1,11,15,19,45,48,2,Lotto 2,3094
13-Aug-2025,1,16,27,41,50,55,2,Lotto 2,3093
09-Aug-2025,2,27,29,38,44,51,3,Lotto 2,3092
06-Aug-2025,5,9,17,31,47,58,3,Lotto 2,3091
02-Aug-2025,33,1,5,10,30,50,4,Lotto 2,3090
30-Jul-2025,37,3,21,5,18,7,4,Lotto 2,3089
26-Jul-2025,28,42,24,57,23,9,1,Lotto 2,3088
23-Jul-2025,48,3,11,21,16,9,1,Lotto 2,3087
19-Jul-2025,25,46,5,7,29,40,2,Lotto 2,3086
16-Jul-2025,6,47,55,12,9,15,2,Lotto 3,3085
12-Jul-2025,41,11,25,4,51,17,1,Lotto 2,3084
09-Jul-2025,51,12,15,25,58,6,1,Lotto 2,3083
05-Jul-2025,45,37,43,9,18,12,10,Lancelot,3082
02-Jul-2025,34,51,54,55,11,4,10,Lancelot,3081
28-Jun-2025,17,40,22,47,38,16,9,Guinevere,3080
25-Jun-2025,21,54,14,49,16,42,9,Guinevere,3079
21-Jun-2025,58,31,13,12,10,6,10,Guinevere,3078
18-Jun-2025,44,8,15,49,31,38,10,Guinevere,3077
14-Jun-2025,42,36,48,59,8,20,9,Lancelot,3076
11-Jun-2025,47,53,35,13,42,8,9,Lancelot,3075
07-Jun-2025,27,11,30,46,39,17,10,Lancelot,3074
04-Jun-2025,9,45,32,2,19,57,10,Lancelot,3073
31-May-2025,20,33,12,11,16,8,9,Guinevere,3072
28-May-2025,8,31,28,49,55,33,5,Guinevere,3071
24-May-2025,9,13,12,26,38,40,8,Guinevere,3070
21-May-2025,16,36,20,30,5,6,8,Guinevere,3069
17-May-2025,34,24,18,51,47,35,7,Lancelot,3068
14-May-2025,14,34,2,52,48,37,7,Lancelot,3067
10-May-2025,27,13,36,14,33,15,6,Lancelot,3066
07-May-2025,12,24,21,3,45,41,6,Lancelot,3065
03-May-2025,18,23,41,17,38,47,5,Guinevere,3064
30-Apr-2025,16,40,42,28,23,55,5,Guinevere,3063
26-Apr-2025,32,36,59,7,8,11,8,Guinevere,3062
23-Apr-2025,42,1,37,24,28,26,8,Guinevere,3061
19-Apr-2025,13,11,1,37,2,30,7,Lancelot,3060
16-Apr-2025,48,57,39,27,36,59,7,Lancelot,3059
12-Apr-2025,4,55,12,10,22,53,6,Lancelot,3058
09-Apr-2025,12,46,14,28,31,33,6,Lancelot,3057
05-Apr-2025,33,59,57,53,10,26,5,Guinevere,3056
02-Apr-2025,40,43,36,30,5,41,5,Guinevere,3055
29-Mar-2025,1,7,35,57,17,43,8,Guinevere,3054
